"","Date","EUR/USD"
"1","1999-01-04","1.1789"
"2","1999-01-05","1.1790"
"3","1999-01-06","1.1743"
"4","1999-01-07","1.1632"
"5","1999-01-08","1.1659"
"6","1999-01-11","1.1569"
"7","1999-01-12","1.1520"
"8","1999-01-13","1.1744"
"9","1999-01-14","1.1653"
"10","1999-01-15","1.1626"
"11","1999-01-18","1.1612"
"12","1999-01-19","1.1616"
"13","1999-01-20","1.1575"
"14","1999-01-21","1.1572"
"15","1999-01-22","1.1567"
"16","1999-01-25","1.1584"
"17","1999-01-26","1.1582"
"18","1999-01-27","1.1529"
"19","1999-01-28","1.1410"
"20","1999-01-29","1.1384"
"21","1999-02-01","1.1338"
"22","1999-02-02","1.1337"
"23","1999-02-03","1.1337"
"24","1999-02-04","1.1263"
"25","1999-02-05","1.1292"
"26","1999-02-08","1.1246"
"27","1999-02-09","1.1333"
"28","1999-02-10","1.1342"
"29","1999-02-11","1.1312"
"30","1999-02-12","1.1244"
"31","1999-02-15","1.1238"
"32","1999-02-16","1.1176"
"33","1999-02-17","1.1253"
"34","1999-02-18","1.1232"
"35","1999-02-19","1.1163"
"36","1999-02-22","1.0992"
"37","1999-02-23","1.0969"
"38","1999-02-24","1.1037"
"39","1999-02-25","1.1031"
"40","1999-02-26","1.1018"
"41","1999-03-01","1.0986"
"42","1999-03-02","1.0887"
"43","1999-03-03","1.0899"
"44","1999-03-04","1.0866"
"45","1999-03-05","1.0834"
"46","1999-03-08","1.0908"
"47","1999-03-09","1.0863"
"48","1999-03-10","1.0953"
"49","1999-03-11","1.0891"
"50","1999-03-12","1.0932"
"51","1999-03-15","1.0949"
"52","1999-03-16","1.0901"
"53","1999-03-17","1.0966"
"54","1999-03-18","1.1012"
"55","1999-03-19","1.0915"
"56","1999-03-22","1.0864"
"57","1999-03-23","1.0896"
"58","1999-03-24","1.0928"
"59","1999-03-25","1.0898"
"60","1999-03-26","1.0815"
"61","1999-03-29","1.0692"
"62","1999-03-30","1.0711"
"63","1999-03-31","1.0742"
"64","1999-04-01","1.0772"
"65","1999-04-02","1.0772"
"66","1999-04-05","1.0752"
"67","1999-04-06","1.0726"
"68","1999-04-07","1.0812"
"69","1999-04-08","1.0818"
"70","1999-04-09","1.0778"
"71","1999-04-12","1.0867"
"72","1999-04-13","1.0765"
"73","1999-04-14","1.0787"
"74","1999-04-15","1.0786"
"75","1999-04-16","1.0668"
"76","1999-04-19","1.0636"
"77","1999-04-20","1.0646"
"78","1999-04-21","1.0586"
"79","1999-04-22","1.0581"
"80","1999-04-23","1.0634"
"81","1999-04-26","1.0614"
"82","1999-04-27","1.0630"
"83","1999-04-28","1.0666"
"84","1999-04-29","1.0604"
"85","1999-04-30","1.0597"
"86","1999-05-03","1.0589"
"87","1999-05-04","1.0564"
"88","1999-05-05","1.0667"
"89","1999-05-06","1.0799"
"90","1999-05-07","1.0786"
"91","1999-05-10","1.0735"
"92","1999-05-11","1.0732"
"93","1999-05-12","1.0645"
"94","1999-05-13","1.0622"
"95","1999-05-14","1.0676"
"96","1999-05-17","1.0685"
"97","1999-05-18","1.0690"
"98","1999-05-19","1.0634"
"99","1999-05-20","1.0639"
"100","1999-05-21","1.0572"
"101","1999-05-24","1.0585"
"102","1999-05-25","1.0627"
"103","1999-05-26","1.0535"
"104","1999-05-27","1.0473"
"105","1999-05-28","1.0479"
"106","1999-05-31","1.0456"
"107","1999-06-01","1.0434"
"108","1999-06-02","1.0382"
"109","1999-06-03","1.0382"
"110","1999-06-04","1.0315"
"111","1999-06-07","1.0316"
"112","1999-06-08","1.0385"
"113","1999-06-09","1.0466"
"114","1999-06-10","1.0474"
"115","1999-06-11","1.0474"
"116","1999-06-14","1.0437"
"117","1999-06-15","1.0392"
"118","1999-06-16","1.0345"
"119","1999-06-17","1.0340"
"120","1999-06-18","1.0388"
"121","1999-06-21","1.0339"
"122","1999-06-22","1.0313"
"123","1999-06-23","1.0280"
"124","1999-06-24","1.0321"
"125","1999-06-25","1.0443"
"126","1999-06-28","1.0388"
"127","1999-06-29","1.0364"
"128","1999-06-30","1.0328"
"129","1999-07-01","1.0264"
"130","1999-07-02","1.0241"
"131","1999-07-05","1.0232"
"132","1999-07-06","1.0221"
"133","1999-07-07","1.0222"
"134","1999-07-08","1.0182"
"135","1999-07-09","1.0204"
"136","1999-07-12","1.0124"
"137","1999-07-13","1.0183"
"138","1999-07-14","1.0168"
"139","1999-07-15","1.0201"
"140","1999-07-16","1.0202"
"141","1999-07-19","1.0146"
"142","1999-07-20","1.0410"
"143","1999-07-21","1.0462"
"144","1999-07-22","1.0499"
"145","1999-07-23","1.0496"
"146","1999-07-26","1.0698"
"147","1999-07-27","1.0627"
"148","1999-07-28","1.0603"
"149","1999-07-29","1.0680"
"150","1999-07-30","1.0694"
"151","1999-08-02","1.0665"
"152","1999-08-03","1.0645"
"153","1999-08-04","1.0761"
"154","1999-08-05","1.0791"
"155","1999-08-06","1.0740"
"156","1999-08-09","1.0705"
"157","1999-08-10","1.0737"
"158","1999-08-11","1.0668"
"159","1999-08-12","1.0638"
"160","1999-08-13","1.0667"
"161","1999-08-16","1.0553"
"162","1999-08-17","1.0527"
"163","1999-08-18","1.0517"
"164","1999-08-19","1.0517"
"165","1999-08-20","1.0667"
"166","1999-08-23","1.0606"
"167","1999-08-24","1.0512"
"168","1999-08-25","1.0433"
"169","1999-08-26","1.0452"
"170","1999-08-27","1.0450"
"171","1999-08-30","1.0454"
"172","1999-08-31","1.0573"
"173","1999-09-01","1.0613"
"174","1999-09-02","1.0662"
"175","1999-09-03","1.0682"
"176","1999-09-06","1.0594"
"177","1999-09-07","1.0565"
"178","1999-09-08","1.0613"
"179","1999-09-09","1.0592"
"180","1999-09-10","1.0520"
"181","1999-09-13","1.0342"
"182","1999-09-14","1.0362"
"183","1999-09-15","1.0369"
